date,O,H,L,C,IBH,IBL,vol,u_var,d_var,first,last,PnL
2017-07-05,5576.75,5660.75,5576.0,5649.0,5609.0,5576.0,0.011307863969434145,1069.2062500000002,3391.956250000001,74883,75198,-11.262097438064302
2017-07-28,5872.75,5918.25,5860.75,5909.75,5878.5,5860.75,0.006623221877661809,203.9562500000004,3212.7062500000006,97675,97990,4.589710903641844
2017-08-07,5902.75,5929.0,5899.75,5924.75,5910.75,5899.75,0.004691400558312684,56.5312500000004,701.0187500000006,105694,106009,-2.604866174637209
2017-08-08,5927.0,5972.75,5912.0,5955.25,5928.5,5924.5,0.004741672814201795,252.1687500000004,717.3312500000006,107003,107318,-7.1298816344751685
2017-08-11,5775.75,5839.25,5765.75,5835.75,5783.0,5765.75,0.0055777759859119095,483.5750000000004,1037.4875000000006,111090,111405,4.5980613911110595
2017-08-14,5870.5,5911.5,5864.75,5907.25,5875.25,5864.75,0.006209462794669042,468.4562500000004,1005.7937500000006,112449,112764,-15.159795142883922
2017-08-22,5816.0,5875.5,5813.5,5865.0,5826.5,5813.5,0.007565716126669405,461.5187500000004,923.8250000000003,120555,120870,-6.3845710473979125
2017-09-11,5956.75,5991.75,5953.25,5982.0,5957.75,5953.25,0.007246772457075326,154.62500000000048,1109.2687500000002,139221,139536,13.335276751379752
2017-09-27,5918.75,5947.0,5915.5,5941.5,5920.75,5917.25,0.006673859396553192,117.2937500000005,957.4187500000004,141066,141150,9.991388465525688
2017-09-29,5956.75,5994.25,5945.0,5989.5,5956.75,5956.75,0.006772233718632593,198.0312500000005,953.1562500000005,141379,141478,-4.328904978254286
2017-10-04,6000.5,6025.25,5992.25,6005.25,6000.5,5997.75,0.005880691535941066,85.48125000000051,138.17500000000086,141793,141880,12.22110650814875
2017-10-05,6023.75,6063.75,6023.5,6063.75,6041.0,6023.5,0.006254198449294609,120.64375000000052,178.67500000000098,141933,142008,1.0411846295355645
2017-10-24,6086.5,6103.75,6070.5,6100.0,6087.25,6084.5,0.004433344915223333,41.668750000000486,87.30000000000081,143613,143680,-1.5982539002006888
2017-10-25,6080.0,6100.0,6024.0,6060.75,6080.75,6079.0,0.003843446267570014,67.0500000000005,287.5437500000004,143750,143901,-3.5120383835610482
2017-11-01,6289.0,6290.25,6237.0,6257.0,6290.25,6285.0,0.006999462591664203,1956.5125000000003,446.80000000000075,144987,145112,1.5734257401936702
2017-11-02,6255.5,6260.0,6206.0,6243.75,6260.0,6252.0,0.0070591581358718765,1908.9812500000003,595.8750000000006,145220,145411,22.404979941249167
2017-11-08,6331.75,6357.75,6323.75,6356.25,6331.75,6329.25,0.007112490610953512,104.37500000000016,321.41875000000067,146299,146426,1.1325886139647992
2017-11-13,6303.75,6336.0,6298.0,6334.5,6303.75,6298.0,0.007349730431464514,77.54375000000013,281.76875000000086,147083,147178,-6.01196182997046
2017-11-30,6344.5,6394.75,6343.5,6376.0,6361.75,6343.75,0.006879488930573659,367.9187500000002,3119.1124999999997,150799,151069,4.353384426036428
2017-12-05,6289.0,6358.0,6257.0,6289.25,6292.5,6271.0,0.006798932426993593,783.10625,2995.937499999999,153068,153378,-12.364342128489625
2017-12-06,6269.75,6324.0,6257.25,6318.0,6276.5,6261.25,0.0067730999959677825,561.2937499999999,2162.6124999999997,154267,154572,7.181598387009217
2017-12-14,6423.25,6443.75,6404.0,6417.5,6431.5,6421.0,0.006147421281966237,292.6374999999999,103.03125000000065,162192,162507,5.508135960718391
2017-12-28,6469.25,6470.75,6442.25,6444.5,6470.75,6464.25,0.005109054451164813,115.43750000000011,39.53125000000058,174226,174541,4.170599884875173
