Date,Direction,Entry Time,Entry Price,Exit Time,Exit Price,Reason,PnL,Exit Reason
2025-02-12,Short,2025-02-12 12:02:00-05:00,21794.05758587819,2025-02-12 12:08:00-05:00,21769.50811375369,Target,24.549472124497697,
2025-02-13,Short,2025-02-13 14:51:00-05:00,22064.023880252815,2025-02-13 15:45:00-05:00,22075.25,Time,-11.226119747185294,
2025-03-04,Short,2025-03-04 13:57:00-05:00,20506.84205176341,2025-03-04 14:09:00-05:00,20584.9932033366,,-78.15115157318724,Stop
2025-03-05,Short,2025-03-05 14:00:00-05:00,20595.793179881377,2025-03-05 14:16:00-05:00,20707.188717501904,,-111.39553762052674,Stop
2025-03-14,Short,2025-03-14 12:54:00-04:00,19706.159043701588,2025-03-14 13:38:00-04:00,19627.674812667028,Target,78.48423103455934,
