Date,Dir,Entry_T,Entry,Exit_T,Exit,Reason,PnL
2026-02-23,Long,2026-02-23 11:01:00-05:00,24731.46918835865,2026-02-23 15:45:00-05:00,24722.25,Time,-9.219188358649262
2026-03-02,Short,2026-03-02 11:45:00-05:00,25023.69898193745,2026-03-02 15:15:00-05:00,24950.971921830544,Target,72.72706010690672
2026-03-03,Short,2026-03-03 13:20:00-05:00,24738.161720094344,2026-03-03 14:45:00-05:00,24835.817688321258,Stop,-97.65596822691441
